time,position,rotation,velocity
0.487,"[-1.2247155260170992e-06, -1.4824472418316722e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.488,"[-1.2356945198795793e-06, -1.4824632247994668e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.489,"[-1.2469118162022896e-06, -1.4824789535792153e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.49,"[-1.2583678137244314e-06, -1.4824942754025726e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.491,"[-1.27006249145932e-06, -1.4825092104672356e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.492,"[-1.2819958198299203e-06, -1.4825237858932638e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.492,"[-1.2941677701881413e-06, -1.4825380306371315e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.494,"[-1.3065783166987463e-06, -1.482551973382903e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.495,"[-1.3192274373134e-06, -1.482565641292169e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.496,"[-1.3321151141913387e-06, -1.4825790593343086e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.497,"[-1.34524133371932e-06, -1.4825922500030682e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.498,"[-1.358606086236669e-06, -1.4826052332815648e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.499,"[-1.3722093656111378e-06, -1.4826180267700999e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.5,"[-1.386051168742776e-06, -1.4826306458952623e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.501,"[-1.4001314950730023e-06, -1.4826431041602223e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.502,"[-1.414450346117098e-06, -1.482655413401549e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.503,"[-1.4290077250452698e-06, -1.482667584035749e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.504,"[-1.4438036361622344e-06, -1.4826796202952604e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.505,"[-1.4588380847406837e-06, -1.482691524298058e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.506,"[-1.4741110768851096e-06, -1.4827032999340878e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.507,"[-1.4896226193158307e-06, -1.4827149522744963e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.508,"[-1.505372719170367e-06, -1.482726487081665e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.509,"[-1.5213613838716e-06, -1.4827379104482396e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.509,"[-1.4132291934693467e-06, -1.317886040643251e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.511,"[-1.2163708542492838e-06, -8.743325876034918e-07, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.512,"[-9.85149557429163e-07, -1.1821645906211846e-07, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.513,"[-7.346630090830295e-07, 9.131915006220563e-07, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.514,"[-4.736772899575914e-07, 2.1316737155376795e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.515,"[-2.0576549604120475e-07, 3.4696380327688888e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.516,"[6.073492072721648e-08, 4.8554689563384294e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.517,"[3.1593071390771665e-07, 6.213844509166846e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.518,"[5.523030053100966e-07, 7.478262338011509e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.519,"[7.688433219564875e-07, 8.599204289121132e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.52,"[7.477897928671179e-07, 9.477690264072025e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.521,"[6.808735871083327e-07, 1.0161349494646548e-05, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.522,"[6.386128670043956e-07, 1.0665842274547782e-05, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
