time,position,rotation,velocity
16.776,"[7.7466109699995895, -0.9763119812227442, 0.0]","[0.0, 0.0, -0.5590388179423483]","[0.5, 0.0, -0.05182184600346688]"
16.976,"[7.8311501647399835, -1.029814487697038, 0.0]","[0.0, 0.0, -0.5692485795531406]","[0.5, 0.0, -0.05046474457362042]"
17.176,"[7.915133955043823, -1.0841685737198283, 0.0]","[0.0, 0.0, -0.5792356604865343]","[0.5, 0.0, -0.04918749778128678]"
17.376,"[7.998573545886313, -1.1393452795561154, 0.0]","[0.0, 0.0, -0.589000911087704]","[0.5, 0.0, -0.047994463695074305]"
17.576,"[8.081474308961143, -1.195322213327164, 0.0]","[0.0, 0.0, -0.5985549652965179]","[0.5, 0.0, -0.04688685763960101]"
17.776,"[8.16384240575031, -1.2520777355378714, 0.0]","[0.0, 0.0, -0.6079097674366035]","[0.5, 0.0, -0.04586613608292861]"
17.976,"[8.245684023096484, -1.3095917308827134, 0.0]","[0.0, 0.0, -0.6170853173954627]","[0.5, 0.0, -0.044931952533199246]"
18.176,"[8.327003926965423, -1.3678466527350592, 0.0]","[0.0, 0.0, -0.6261003628271979]","[0.5, 0.0, -0.044084974802555944]"
18.376,"[8.407805033598777, -1.426824763267124, 0.0]","[0.0, 0.0, -0.6349630754526396]","[0.5, 0.0, -0.04333015064501352]"
18.576,"[8.488087871887267, -1.4865080897738858, 0.0]","[0.0, 0.0, -0.643677991105648]","[0.5, 0.0, -0.04267451230773029]"
18.776,"[8.56785359570843, -1.5468803396770021, 0.0]","[0.0, 0.0, -0.6522547052602663]","[0.5, 0.0, -0.04212512443947205]"
18.976,"[8.647104176420049, -1.6079288212745664, 0.0]","[0.0, 0.0, -0.6607207609659437]","[0.5, 0.0, -0.04168539373133251]"
19.176,"[8.72584225407263, -1.6696437949745535, 0.0]","[0.0, 0.0, -0.6690895283598075]","[0.5, 0.0, -0.04136522835729232]"
19.376,"[8.804068213515828, -1.7320153243686045, 0.0]","[0.0, 0.0, -0.6773844880126735]","[0.5, 0.0, -0.04117446408766505]"
19.576,"[8.88178072898097, -1.7950355570011325, 0.0]","[0.0, 0.0, -0.6856388989050267]","[0.5, 0.0, -0.04112359086320625]"
19.776,"[8.958973617222222, -1.8586980632376604, 0.0]","[0.0, 0.0, -0.693877475407877]","[0.5, 0.0, -0.041229806155010526]"
19.976,"[9.035638994315242, -1.9229975907010484, 0.0]","[0.0, 0.0, -0.7021209644226015]","[0.5, 0.0, -0.04151802852917726]"
20.176,"[9.111768822955469, -1.9879310110054371, 0.0]","[0.0, 0.0, -0.7104004223057472]","[0.5, 0.0, -0.04201876629334347]"
20.376,"[9.187355508214837, -2.0534981464051145, 0.0]","[0.0, 0.0, -0.7187763569844066]","[0.5, 0.0, -0.04276599581738144]"
20.576,"[9.262385611664438, -2.1197039091239698, 0.0]","[0.0, 0.0, -0.7273075614989873]","[0.5, 0.0, -0.04380963788127673]"
20.776,"[9.33684093719668, -2.186561503157231, 0.0]","[0.0, 0.0, -0.7360551335537686]","[0.5, 0.0, -0.045222499720121476]"
20.976,"[9.410697291648118, -2.2540830109142, 0.0]","[0.0, 0.0, -0.7451159902149399]","[0.5, 0.0, -0.0471012532429125]"
21.176,"[9.483923566613212, -2.322282876403614, 0.0]","[0.0, 0.0, -0.7546236546036053]","[0.5, 0.0, -0.04959084463178811]"
21.376,"[9.55648171827804, -2.391190370369916, 0.0]","[0.0, 0.0, -0.7646879533337803]","[0.5, 0.0, -0.05293145817383471]"
21.576999999999998,"[9.628678457141753, -2.4611971998772293, 0.0]","[0.0, 0.0, -0.7755691088580399]","[0.5, 0.0, -0.05751487208281369]"
21.777,"[9.699722962501259, -2.531665553633389, 0.0]","[0.0, 0.0, -0.7874783829805894]","[0.5, 0.0, -0.063914141767461]"
21.977,"[9.769879246417641, -2.6030243146151295, 0.0]","[0.0, 0.0, -0.8009051433695434]","[0.5, 0.0, -0.0733030483252609]"
22.177,"[9.839012140646568, -2.67539879683321, 0.0]","[0.0, 0.0, -0.816583993114583]","[0.5, 0.0, -0.08804533663894198]"
