time,position,rotation,velocity
21.377,"[9.61929716558357, 2.458908267587643, 0.0]","[0.0, 0.0, 0.771650455235043]","[0.5, 0.0, 0.055777962427903734]"
21.576999999999998,"[9.690507598545414, 2.5289824587865795, 0.0]","[0.0, 0.0, 0.7832469842237552]","[0.5, 0.0, 0.06182655189191472]"
21.777,"[9.760845920187485, 2.599910801585625, 0.0]","[0.0, 0.0, 0.7962678699812241]","[0.5, 0.0, 0.07067237788249721]"
21.977,"[9.830179924084032, 2.6718008804596556, 0.0]","[0.0, 0.0, 0.8113583550196826]","[0.5, 0.0, 0.08449313755489114]"
22.177,"[9.898288347380658, 2.744807620121752, 0.0]","[0.0, 0.0, 0.8298863257019259]","[0.5, 0.0, 0.10832922706592188]"
22.378,"[9.965120459493711, 2.8195801771392386, 0.0]","[0.0, 0.0, 0.8548494204996314]","[0.5, 0.0, 0.15713074055655818]"
22.578,"[10.029208369222872, 2.8959048949250965, 0.0]","[0.0, 0.0, 0.8941586114522104]","[0.5, 0.0, 0.2840199108219139]"
22.779,"[10.089642458847916, 2.973627717980219, 0.0]","[0.0, 0.0, 0.8986199231018104]","[0.5, 0.0, -0.35713387423997395]"
22.979,"[10.154948696547859, 3.049972530167642, 0.0]","[0.0, 0.0, 0.8285175008518646]","[0.5, 0.0, -0.338769478111317]"
23.179,"[10.225293667777217, 3.12171781590391, 0.0]","[0.0, 0.0, 0.7622357232491442]","[0.5, 0.0, -0.32149260313328415]"
23.379,"[10.30011502249566, 3.1888168256543192, 0.0]","[0.0, 0.0, 0.6993888065674239]","[0.5, 0.0, -0.3051811837911048]"
23.579,"[10.37886913365874, 3.251171556052459, 0.0]","[0.0, 0.0, 0.6398212689427158]","[0.5, 0.0, -0.2897836268818285]"
23.779,"[10.461077068554012, 3.308841392843907, 0.0]","[0.0, 0.0, 0.5833099701264668]","[0.5, 0.0, -0.275232203638041]"
23.979,"[10.546313989039366, 3.3618861233409207, 0.0]","[0.0, 0.0, 0.5296433783979452]","[0.5, 0.0, -0.2614626291067161]"
24.179,"[10.634193835294532, 3.410391368013055, 0.0]","[0.0, 0.0, 0.4787013163410186]","[0.5, 0.0, -0.24843878801230002]"
24.379,"[10.724381497219808, 3.4544684570343662, 0.0]","[0.0, 0.0, 0.43040784939232796]","[0.5, 0.0, -0.2361376399768935]"
24.579,"[10.816518999305103, 3.494225009100771, 0.0]","[0.0, 0.0, 0.3844664814333353]","[0.5, 0.0, -0.2244695415748882]"
24.779,"[10.910332882990817, 3.5298136382008485, 0.0]","[0.0, 0.0, 0.3407902371708563]","[0.5, 0.0, -0.2134122156603863]"
24.979,"[11.005541987782012, 3.5613748782655774, 0.0]","[0.0, 0.0, 0.29924204675429344]","[0.5, 0.0, -0.2029258840399299]"
25.179,"[11.101925307993323, 3.58905759098091, 0.0]","[0.0, 0.0, 0.2597426837417357]","[0.5, 0.0, -0.1929876492352921]"
25.379,"[11.199282850115203, 3.613009117846661, 0.0]","[0.0, 0.0, 0.22218549631340936]","[0.5, 0.0, -0.18356690592896183]"
25.58,"[11.297931216127257, 3.6334732203309557, 0.0]","[0.0, 0.0, 0.1863260884438792]","[0.5, 0.0, -0.17460063851797578]"
25.78,"[11.39672933195096, 3.6503964120971166, 0.0]","[0.0, 0.0, 0.15239821144512258]","[0.5, 0.0, -0.16614328209758858]"
25.98,"[11.496028290162082, 3.664037622881499, 0.0]","[0.0, 0.0, 0.12014013099070686]","[0.5, 0.0, -0.15812741177254258]"
26.18,"[11.595700357621016, 3.6745411910155887, 0.0]","[0.0, 0.0, 0.0894925610565041]","[0.5, 0.0, -0.15053654090511778]"
26.38,"[11.695650071844014, 3.682053610093228, 0.0]","[0.0, 0.0, 0.060309089417979585]","[0.5, 0.0, -0.14333022547897056]"
26.58,"[11.79577225081385, 3.686703035557884, 0.0]","[0.0, 0.0, 0.03267459458004439]","[0.5, 0.0, -0.13653329560212693]"
26.78,"[11.89596048776794, 3.68864034465561, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, -0.13005978068449708]"
26.98,"[11.996149493838299, 3.688006004132752, 0.0]","[0.0, 0.0, -0.01884149926893603]","[0.5, 0.0, -0.1239094829934923]"
27.18,"[12.096293629801297, 3.6849182986296207, 0.0]","[0.0, 0.0, -0.042976696117977144]","[0.5, 0.0, -0.1180143464905385]"
27.38,"[12.19629457433505, 3.6794587446138003, 0.0]","[0.0, 0.0, -0.06622257278783211]","[0.5, 0.0, -0.11233608342726571]"
27.58,"[12.296130657983321, 3.6717389549316897, 0.0]","[0.0, 0.0, -0.08837974169962018]","[0.5, 0.0, -0.10693903123585223]"
27.78,"[12.395768580016066, 3.6618710460620854, 0.0]","[0.0, 0.0, -0.10946740454230172]","[0.5, 0.0, -0.10181884342660154]"
27.98,"[12.495173997109587, 3.649960940662042, 0.0]","[0.0, 0.0, -0.12955356497833082]","[0.5, 0.0, -0.09695675018083111]"
28.18,"[12.594319962428084, 3.6361089514471807, 0.0]","[0.0, 0.0, -0.14868799448277292]","[0.5, 0.0, -0.09233938151218675]"
28.38,"[12.693183936604878, 3.620411205445115, 0.0]","[0.0, 0.0, -0.16691521777810178]","[0.5, 0.0, -0.08795496932718998]"
28.58,"[12.79174696325145, 3.6029587195368307, 0.0]","[0.0, 0.0, -0.18428851702607413]","[0.5, 0.0, -0.08378909401786401]"
28.78,"[12.889996028872613, 3.5838376806600922, 0.0]","[0.0, 0.0, -0.2008369580675055]","[0.5, 0.0, -0.07983454512280619]"
28.98,"[12.987917946308848, 3.563130774358118, 0.0]","[0.0, 0.0, -0.21660836629583208]","[0.5, 0.0, -0.0760781218048374]"
29.18,"[13.08550598397457, 3.540918729437574, 0.0]","[0.0, 0.0, -0.23164602152364885]","[0.5, 0.0, -0.07250902360288856]"
29.38,"[13.182758411105421, 3.5172727357524347, 0.0]","[0.0, 0.0, -0.24596596367339604]","[0.5, 0.0, -0.06912332518641497]"
29.58,"[13.279666315516735, 3.49226245740994, 0.0]","[0.0, 0.0, -0.2596198255221643]","[0.5, 0.0, -0.06590567744862343]"
29.78,"[13.376229163162021, 3.4659594566753347, 0.0]","[0.0, 0.0, -0.27265188679818836]","[0.5, 0.0, -0.06284648257661833]"
29.98,"[13.472448409876405, 3.438427331486383, 0.0]","[0.0, 0.0, -0.28499610639989154]","[0.5, 0.0, -0.05996495531480659]"
30.18,"[13.56879748026395, 3.4095819488345938, 0.0]","[0.0, 0.0, -0.29684288800174424]","[0.5, 0.0, -0.057207805620902046]"
30.38,"[13.663847078387635, 3.379921569009627, 0.0]","[0.0, 0.0, -0.3080710811447458]","[0.5, 0.0, -0.054602914278580855]"
30.58,"[13.759038433932535, 3.3490619960816983, 0.0]","[0.0, 0.0, -0.31885748085260135]","[0.5, 0.0, -0.05211042131334709]"
30.78,"[13.853894533416208, 3.317200833413186, 0.0]","[0.0, 0.0, -0.32913299211334623]","[0.5, 0.0, -0.04974755175260397]"
30.98,"[13.948420983200732, 3.2843900952229608, 0.0]","[0.0, 0.0, -0.3389453392011727]","[0.5, 0.0, -0.04750124288002596]"
31.18,"[14.042626671815313, 3.2506776386164336, 0.0]","[0.0, 0.0, -0.34831197376789697]","[0.5, 0.0, -0.04536739096754303]"
31.38,"[14.136519358090776, 3.2161079633086653, 0.0]","[0.0, 0.0, -0.35724753198625075]","[0.5, 0.0, -0.04334248289389387]"
31.58,"[14.230104321984712, 3.1807237136202104, 0.0]","[0.0, 0.0, -0.3657814195563042]","[0.5, 0.0, -0.04141856347426883]"
31.78,"[14.323388841304368, 3.144564733832523, 0.0]","[0.0, 0.0, -0.373927433269031]","[0.5, 0.0, -0.03959240361929004]"
31.981,"[14.416845415685277, 3.1074814195157145, 0.0]","[0.0, 0.0, -0.3817465224893832]","[0.5, 0.0, -0.037849515203468916]"
32.181,"[14.509549085429432, 3.069878474828568, 0.0]","[0.0, 0.0, -0.3891820055005397]","[0.5, 0.0, -0.036201705286839594]"
32.381,"[14.60197225564111, 3.0316047051804595, 0.0]","[0.0, 0.0, -0.39629732347375995]","[0.5, 0.0, -0.03463364620955692]"
32.581,"[14.694122689451229, 2.9926898966206905, 0.0]","[0.0, 0.0, -0.40310590527533463]","[0.5, 0.0, -0.03314205287677074]"
32.781,"[14.786008779775242, 2.9531628217987267, 0.0]","[0.0, 0.0, -0.40962446380209583]","[0.5, 0.0, -0.031722599075153915]"
32.981,"[14.877637230244476, 2.913050385832333, 0.0]","[0.0, 0.0, -0.41586676423383034]","[0.5, 0.0, -0.030371689937946617]"
33.181,"[14.969015347188211, 2.8723784371156555, 0.0]","[0.0, 0.0, -0.42184829909744814]","[0.5, 0.0, -0.029085309941824282]"
33.381,"[15.060151182639016, 2.8311709462105257, 0.0]","[0.0, 0.0, -0.42758354322134073]","[0.5, 0.0, -0.02785987213139301]"
33.581,"[15.151052172878837, 2.7894508032091965, 0.0]","[0.0, 0.0, -0.43308040640906853]","[0.5, 0.0, -0.026693567905261607]"
33.781,"[15.241722893741354, 2.7472402971509915, 0.0]","[0.0, 0.0, -0.43835420948332127]","[0.5, 0.0, -0.02558144295032867]"
33.981,"[15.332168935144722, 2.704562530284786, 0.0]","[0.0, 0.0, -0.443432972934041]","[0.5, 0.0, -0.02451720440656958]"
34.181,"[15.422404417439552, 2.661434144207174, 0.0]","[0.0, 0.0, -0.448272913439736]","[0.5, 0.0, -0.0235154421849223]"
34.381,"[15.512433525678905, 2.6178734890563495, 0.0]","[0.0, 0.0, -0.452893995344094]","[0.5, 0.0, -0.02256685770060472]"
34.581,"[15.60225509440022, 2.5739011255887045, 0.0]","[0.0, 0.0, -0.4573614817478697]","[0.5, 0.0, -0.021653454543843546]"
34.781,"[15.691875936151382, 2.5295361786072665, 0.0]","[0.0, 0.0, -0.46168943400699425]","[0.5, 0.0, -0.020773172412683342]"
34.981,"[15.781305248958764, 2.4847947147599636, 0.0]","[0.0, 0.0, -0.4658667612840525]","[0.5, 0.0, -0.01992943278313276]"
35.181,"[15.870548634415758, 2.4396907318176577, 0.0]","[0.0, 0.0, -0.4699006990713129]","[0.5, 0.0, -0.019120449890831597]"
35.381,"[15.959613435777358, 2.3942385218954256, 0.0]","[0.0, 0.0, -0.47379382890406835]","[0.5, 0.0, -0.018344821991622955]"
35.581,"[16.048505782733688, 2.348452155200912, 0.0]","[0.0, 0.0, -0.4775439779281547]","[0.5, 0.0, -0.017607853099924825]"
35.781,"[16.13723067824303, 2.3023442553001896, 0.0]","[0.0, 0.0, -0.48115246827752184]","[0.5, 0.0, -0.01690506254665364]"
35.981,"[16.22579427324366, 2.25592738282659, 0.0]","[0.0, 0.0, -0.48462405790523133]","[0.5, 0.0, -0.016236543815321393]"
36.181,"[16.3142028093804, 2.209213493547769, 0.0]","[0.0, 0.0, -0.48797221653382705]","[0.5, 0.0, -0.015599171942963489]"
36.381,"[16.402459806067643, 2.162215293420514, 0.0]","[0.0, 0.0, -0.4911933904477706]","[0.5, 0.0, -0.014994972344118312]"
36.582,"[16.491008603984685, 2.114706722034354, 0.0]","[0.0, 0.0, -0.49429502016339516]","[0.5, 0.0, -0.014423417143307093]"
36.782,"[16.578972584966625, 2.0671697849956354, 0.0]","[0.0, 0.0, -0.49726374908655374]","[0.5, 0.0, -0.013885227419596358]"
36.982,"[16.666797813939997, 2.0193798415376585, 0.0]","[0.0, 0.0, -0.5001142131509245]","[0.5, 0.0, -0.013378312360923472]"
37.182,"[16.75448928515648, 1.97134699578133, 0.0]","[0.0, 0.0, -0.5028532004147017]","[0.5, 0.0, -0.012901216180967547]"
37.382,"[16.842050210069853, 1.923078755993587, 0.0]","[0.0, 0.0, -0.5054877024379368]","[0.5, 0.0, -0.012452116666100688]"
37.582,"[16.929484349248625, 1.8745835569534182, 0.0]","[0.0, 0.0, -0.5080241158043474]","[0.5, 0.0, -0.012029681084044064]"
37.782,"[17.01679556652391, 1.8258690673225917, 0.0]","[0.0, 0.0, -0.5104692636642533]","[0.5, 0.0, -0.011632297932861512]"
37.982,"[17.10398804880594, 1.7769416685578727, 0.0]","[0.0, 0.0, -0.512830709437047]","[0.5, 0.0, -0.011258131377530733]"
38.182,"[17.191065063859092, 1.7278087442996273, 0.0]","[0.0, 0.0, -0.5151141044532888]","[0.5, 0.0, -0.010906283808498772]"
38.382,"[17.27803006160602, 1.678476850344824, 0.0]","[0.0, 0.0, -0.5173212549525691]","[0.5, 0.0, -0.010576654786439712]"
38.582,"[17.364886433563157, 1.6289514471643527, 0.0]","[0.0, 0.0, -0.5194591693022963]","[0.5, 0.0, -0.010271214147521789]"
38.782,"[17.451635576317795, 1.5792385155081414, 0.0]","[0.0, 0.0, -0.5215354205241544]","[0.5, 0.0, -0.009977292094443813]"
38.982,"[17.53827917652108, 1.529345125154251, 0.0]","[0.0, 0.0, -0.523570450572632]","[0.5, 0.0, -0.009700881987699039]"
39.182,"[17.62482491755427, 1.479274076561795, 0.0]","[0.0, 0.0, -0.5255296574154756]","[0.5, 0.0, -0.009451174665545525]"
