time,position,rotation,velocity
20.179,"[8.653786641563537, 2.62361613564428, 0.0]","[0.0, 0.0, 0.9323843337566686]","[0.5, 0.0, 0.036901782822891714]"
20.379,"[8.713010704644988, 2.704091839342045, 0.0]","[0.0, 0.0, 0.9395873433391094]","[0.5, 0.0, 0.03609213293157295]"
20.579,"[8.771661425458474, 2.78498835959498, 0.0]","[0.0, 0.0, 0.9466528984643799]","[0.5, 0.0, 0.0353462928576519]"
20.779,"[8.829748974289712, 2.8662926708245333, 0.0]","[0.0, 0.0, 0.9535847581408391]","[0.5, 0.0, 0.03466770508993443]"
20.979,"[8.88728200538529, 2.9479937525466338, 0.0]","[0.0, 0.0, 0.960394109375756]","[0.5, 0.0, 0.034058252416995935]"
21.179,"[8.944267911812268, 3.0300814423122855, 0.0]","[0.0, 0.0, 0.9670892095233447]","[0.5, 0.0, 0.03352113134401791]"
21.379,"[9.000712713044672, 3.1125460692739564, 0.0]","[0.0, 0.0, 0.9736865041650533]","[0.5, 0.0, 0.03305825475634796]"
21.579,"[9.056621206172416, 3.19537970029423, 0.0]","[0.0, 0.0, 0.9802053085429789]","[0.5, 0.0, 0.032671626637073396]"
21.779,"[9.111996686634551, 3.278574617428023, 0.0]","[0.0, 0.0, 0.9866569200853145]","[0.5, 0.0, 0.03236704041507986]"
21.979,"[9.166841266075114, 3.362124054735806, 0.0]","[0.0, 0.0, 0.9930562269297714]","[0.5, 0.0, 0.03215096732705831]"
22.179,"[9.221155487861623, 3.446021880070182, 0.0]","[0.0, 0.0, 0.9994160489917119]","[0.5, 0.0, 0.03203268566793331]"
22.379,"[9.274939694695684, 3.530263389354652, 0.0]","[0.0, 0.0, 1.0057578462752486]","[0.5, 0.0, 0.032021918718933534]"
22.579,"[9.32819289862722, 3.614845916324839, 0.0]","[0.0, 0.0, 1.0121103113177086]","[0.5, 0.0, 0.03213001840992351]"
22.779,"[9.38091017476647, 3.6997671450898393, 0.0]","[0.0, 0.0, 1.0184967323637697]","[0.5, 0.0, 0.032374591755701766]"
